iter	Passed	Remaining
0	146	146103
1	147	73745
2	149	49729
3	151	37756
4	153	30473
5	154	25598
6	156	22240
7	158	19706
8	160	17723
9	163	16198
10	165	14920
11	167	13825
12	168	12816
13	171	12074
14	173	11422
15	176	10867
16	178	10346
17	179	9814
18	181	9368
19	183	8988
20	185	8640
21	187	8314
22	189	8033
23	190	7741
24	191	7469
25	192	7212
26	193	6976
27	194	6762
28	196	6570
29	197	6382
30	198	6202
31	199	6038
32	200	5881
33	202	5742
34	203	5600
35	204	5465
36	205	5335
37	205	5210
38	206	5092
39	207	4982
40	208	4876
41	209	4772
42	210	4678
43	211	4588
44	212	4503
45	213	4418
46	214	4340
47	214	4262
48	215	4183
49	216	4112
50	217	4044
51	218	3978
52	219	3917
53	220	3855
54	220	3796
55	221	3737
56	222	3679
57	223	3625
58	223	3572
59	224	3521
60	225	3473
61	226	3426
62	227	3381
63	228	3335
64	228	3290
65	229	3247
66	230	3203
67	230	3162
68	231	3121
69	231	3081
70	232	3043
71	233	3006
72	233	2971
73	234	2938
74	235	2904
75	236	2870
76	236	2837
77	237	2806
78	238	2774
79	238	2745
80	239	2717
81	240	2690
82	240	2659
83	241	2632
84	242	2606
85	242	2582
86	243	2557
87	244	2534
88	245	2510
89	246	2487
90	246	2463
91	247	2441
92	248	2419
93	248	2398
94	249	2378
95	250	2357
96	251	2336
97	251	2316
98	252	2296
99	252	2276
100	253	2257
101	254	2239
102	255	2224
103	256	2208
104	257	2192
105	257	2175
106	258	2158
107	259	2141
108	259	2125
109	260	2108
110	261	2092
111	261	2076
112	262	2061
113	263	2047
114	264	2033
115	264	2018
116	265	2003
117	266	1988
118	266	1974
119	267	1960
120	268	1946
121	268	1932
122	269	1920
123	270	1910
124	271	1898
125	272	1887
126	272	1873
127	273	1861
128	273	1849
129	274	1837
130	275	1825
131	275	1813
132	276	1802
133	277	1791
134	278	1781
135	278	1770
136	279	1760
137	280	1749
138	280	1738
139	281	1728
140	281	1717
141	282	1705
142	282	1695
143	283	1685
144	284	1677
145	285	1670
146	286	1661
147	286	1652
148	287	1644
149	288	1636
150	289	1628
151	290	1619
152	291	1611
153	291	1602
154	292	1594
155	293	1586
156	293	1577
157	294	1569
158	295	1560
159	295	1552
160	296	1543
161	296	1535
162	297	1527
163	298	1519
164	298	1511
165	299	1505
166	300	1497
167	301	1490
168	301	1484
169	302	1477
170	303	1471
171	304	1464
172	304	1456
173	305	1449
174	306	1443
175	306	1436
176	307	1429
177	307	1422
178	308	1415
179	309	1408
180	309	1402
181	310	1395
182	311	1389
183	311	1382
184	312	1376
185	313	1369
186	313	1364
187	314	1358
188	315	1353
189	316	1348
190	317	1343
191	317	1337
192	318	1331
193	319	1325
194	319	1320
195	320	1314
196	321	1310
197	322	1305
198	322	1299
199	323	1294
200	324	1288
201	324	1283
202	325	1277
203	326	1272
204	326	1266
205	327	1261
206	328	1256
207	328	1251
208	329	1247
209	330	1243
210	331	1238
211	332	1234
212	332	1229
213	333	1225
214	334	1221
215	335	1216
216	335	1212
217	336	1207
218	337	1202
219	337	1197
220	338	1192
221	339	1188
222	339	1183
223	340	1178
224	340	1174
225	341	1169
226	342	1165
227	342	1160
228	343	1156
229	344	1152
230	345	1148
231	345	1144
232	346	1140
233	347	1136
234	347	1132
235	348	1128
236	349	1123
237	349	1119
238	350	1115
239	350	1111
240	351	1107
241	352	1102
242	352	1098
243	353	1094
244	354	1091
245	354	1086
246	355	1083
247	355	1079
248	356	1075
249	357	1071
250	357	1067
251	358	1064
252	359	1060
253	360	1057
254	360	1053
255	361	1050
256	362	1047
257	362	1043
258	363	1039
259	364	1036
260	364	1032
261	365	1029
262	366	1025
263	366	1022
264	367	1018
265	367	1015
266	368	1011
267	369	1008
268	369	1004
269	370	1001
270	370	997
271	371	994
272	372	991
273	372	987
274	373	984
275	374	981
276	375	980
277	376	977
278	377	975
279	378	972
280	378	969
281	379	967
282	380	964
283	381	961
284	382	958
285	383	956
286	383	953
287	384	950
288	385	948
289	386	945
290	386	942
291	387	939
292	388	936
293	388	933
294	389	930
295	390	928
296	390	925
297	391	922
298	392	919
299	393	917
300	394	915
301	394	912
302	395	910
303	396	907
304	396	904
305	397	901
306	398	898
307	398	895
308	399	893
309	400	890
310	400	887
311	401	884
312	401	882
313	402	879
314	403	876
315	403	874
316	404	871
317	405	869
318	406	867
319	407	864
320	407	862
321	408	860
322	409	857
323	409	855
324	410	852
325	411	849
326	411	847
327	412	844
328	413	842
329	413	839
330	414	837
331	415	835
332	415	832
333	416	830
334	417	827
335	417	825
336	418	822
337	418	820
338	419	818
339	420	816
340	421	813
341	421	811
342	422	809
343	423	807
344	424	805
345	425	803
346	425	801
347	426	798
348	427	796
349	427	794
350	428	791
351	428	789
352	429	787
353	430	785
354	431	783
355	431	781
356	432	779
357	433	777
358	434	775
359	435	774
360	436	772
361	437	771
362	438	769
363	439	767
364	440	765
365	440	763
366	441	761
367	442	759
368	443	757
369	443	755
370	444	754
371	445	751
372	446	750
373	446	747
374	447	745
375	448	744
376	449	742
377	450	741
378	451	739
379	451	737
380	452	735
381	453	733
382	454	731
383	455	730
384	455	728
385	456	726
386	457	724
387	458	723
388	459	722
389	460	720
390	461	718
391	462	717
392	463	715
